symbol,company_name,sector,industry,isin,market_cap_category,nifty50,nifty_next50,listing_status
SUNFLAG,Sunflag Iron And Steel Company Ltd,Unknown,Unknown,INE947A01014,Unknown,false,false,Listed
SUNPHARMA,Sun Pharmaceutical Industries Ltd,Healthcare,Healthcare,INE044A01036,Large Cap,true,false,Listed
SUNTECK,Sunteck Realty Ltd,Realty,Realty,INE805D01034,Micro Cap,false,false,Listed
SUNTV,Sun TV Network Ltd,Media Entertainment & Publication,Media Entertainment & Publication,INE424H01027,Small Cap,false,false,Listed
SUPERHOUSE,Superhouse Ltd,Unknown,Unknown,INE712B01010,Unknown,false,false,Listed
SUPRAJIT,Suprajit Engineering Ltd,Unknown,Unknown,INE399C01030,Unknown,false,false,Listed
SUPREME,Supreme Holdings & Hospitality (India) Ltd,Unknown,Unknown,INE822E01011,Unknown,false,false,Listed
SUPREMEIND,Supreme Industries Ltd,Capital Goods,Capital Goods,INE195A01028,Mid Cap,false,false,Listed
SUPREMEINF,Supreme Infrastructure India Ltd,Unknown,Unknown,INE550H01011,Unknown,false,false,Listed
SUPRIYA,Supriya Lifescience Ltd,Healthcare,Healthcare,INE07RO01027,Micro Cap,false,false,Listed
SURAJEST,Suraj Estate Developers Ltd,Unknown,Unknown,INE843S01025,Unknown,false,false,Listed
SURAJLTD,Suraj Ltd,Unknown,Unknown,INE713C01016,Unknown,false,false,Listed
SURAKSHA,Suraksha Diagnostic Ltd,Unknown,Unknown,INE877V01027,Unknown,false,false,Listed
SURANASOL,Surana Solar Ltd,Unknown,Unknown,INE272L01022,Unknown,false,false,Listed
SURANAT&P,Surana Telecom and Power Ltd,Unknown,Unknown,INE130B01031,Unknown,false,false,Listed
SURYALA,Suryalata Spinning Mills Ltd,Unknown,Unknown,INE132C01027,Unknown,false,false,Listed
SURYALAXMI,Suryalakshmi Cotton Mills Ltd,Unknown,Unknown,INE713B01026,Unknown,false,false,Listed
SURYAROSNI,Surya Roshni Ltd,Capital Goods,Capital Goods,INE335A01020,Micro Cap,false,false,Listed
SURYODAY,Suryoday Small Finance Bank Ltd,Unknown,Unknown,INE428Q01011,Unknown,false,false,Listed
SUVEN,Suven Life Sciences Ltd,Unknown,Unknown,INE495B01038,Unknown,false,false,Listed
SUVIDHAA,Suvidhaa Infoserve Ltd,Unknown,Unknown,INE018401013,Unknown,false,false,Listed
SUYOG,Suyog Telematics Ltd,Unknown,Unknown,INE442P01014,Unknown,false,false,Listed
SUZLON,Suzlon Energy Ltd,Capital Goods,Capital Goods,INE040H01021,Mid Cap,false,false,Listed
SWANCORP,SWAN CORP Ltd,Chemicals,Chemicals,INE665A01038,Small Cap,false,false,Listed
SWARAJENG,Swaraj Engines Ltd,Unknown,Unknown,INE277A01016,Unknown,false,false,Listed
SWELECTES,Swelect Energy Systems Ltd,Unknown,Unknown,INE409B01013,Unknown,false,false,Listed
SWIGGY,Swiggy Ltd,Consumer Services,Consumer Services,INE00H001014,Mid Cap,false,false,Listed
SWSOLAR,Sterling and Wilson Renewable Energy Ltd,Construction,Construction,INE00M201021,Micro Cap,false,false,Listed
SYMPHONY,Symphony Ltd,Unknown,Unknown,INE225D01027,Unknown,false,false,Listed
SYNCOMF,Syncom Formulations (India) Ltd,Unknown,Unknown,INE312C01025,Unknown,false,false,Listed
SYNGENE,Syngene International Ltd,Healthcare,Healthcare,INE398R01022,Small Cap,false,false,Listed
SYRMA,Syrma SGS Technology Ltd,Capital Goods,Capital Goods,INE0DYJ01015,Small Cap,false,false,Listed
TAALTECH,Taal Tech Ltd,Unknown,Unknown,INE524T01011,Unknown,false,false,Listed
TAINWALCHM,Tainwala Chemical and Plastic (I) Ltd,Unknown,Unknown,INE123C01018,Unknown,false,false,Listed
TAJGVK,Taj GVK Hotels & Resorts Ltd,Unknown,Unknown,INE586B01026,Unknown,false,false,Listed
TALBROAUTO,Talbros Automotive Components Ltd,Unknown,Unknown,INE187D01029,Unknown,false,false,Listed
TANLA,Tanla Platforms Ltd,Information Technology,Information Technology,INE483C01032,Micro Cap,false,false,Listed
TARACHAND,Tara Chand InfraLogistic Solutions Ltd,Unknown,Unknown,INE555Z01020,Unknown,false,false,Listed
TARAPUR,Tarapur Transformers Ltd,Unknown,Unknown,INE747K01017,Unknown,false,false,Listed
TARC,TARC Ltd,Realty,Realty,INE0EK901012,Micro Cap,false,false,Listed
